title,artist,link
Portrait of a Man (1956),Lawrence F. Baxter,https://collections.ed.ac.uk/art/record/21182?highlight=*:*
Eight Lines II (2001),Wilhelmina Barns-Graham CBE HRSA HRSW,https://collections.ed.ac.uk/art/record/54748?highlight=*:*
Untitled,Mary McKay,https://collections.ed.ac.uk/art/record/112445?highlight=*:*
Portrait of Sleeping Woman (1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/21009?highlight=*:*
Portrait of Man in Red Jacket (1968),Michael Docherty,https://collections.ed.ac.uk/art/record/21178?highlight=*:*
Portrait of a Seated Woman (1954),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21212?highlight=*:*
Untitled - Older Couple (1983),Kathleen R Greer,https://collections.ed.ac.uk/art/record/99430?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,https://collections.ed.ac.uk/art/record/99371?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21055?highlight=*:*
Standing Female Nude (1959),R G Browne,https://collections.ed.ac.uk/art/record/20953?highlight=*:*
Portrait of a Woman (1957),Ruth Illingworth,https://collections.ed.ac.uk/art/record/21007?highlight=*:*
Portrait of an Old Woman (1959),Barbara Strachan,https://collections.ed.ac.uk/art/record/20868?highlight=*:*
Figures in an Interior,Henry Rogers,https://collections.ed.ac.uk/art/record/21491?highlight=*:*
View from a Window,Sylvia Mackiewicz,https://collections.ed.ac.uk/art/record/21453?highlight=*:*
Portrait of a Man in Red Shirt (1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/21423?highlight=*:*
Untitled (1963),Ruth Walker,https://collections.ed.ac.uk/art/record/22023?highlight=*:*
Unknown (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/123511?highlight=*:*
Nugget (2013),Charlotte Roseberry,https://collections.ed.ac.uk/art/record/21301?highlight=*:*
'Gordini' Fairground Ride,Hazel Walker,https://collections.ed.ac.uk/art/record/21508?highlight=*:*
Seed and the Rock (1953),Gabor Peterdi,https://collections.ed.ac.uk/art/record/21659?highlight=*:*
Untitled (1962),Robert S. Crozier,https://collections.ed.ac.uk/art/record/112312?highlight=*:*
Striding Male Nude (Circa 1939),Ian R McRobbie,https://collections.ed.ac.uk/art/record/21062?highlight=*:*
Untitled - Two Apes Sun Bathing (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99347?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20677?highlight=*:*
Antique Life drawing - 3rd Year (1962),Kathleen Russell,https://collections.ed.ac.uk/art/record/99520?highlight=*:*
Portrait of Seated Man (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21180?highlight=*:*
Seated Male Nude (1959),Ronald G Browne,https://collections.ed.ac.uk/art/record/21156?highlight=*:*
Portrait of a Woman (1957),Peter McGinn,https://collections.ed.ac.uk/art/record/21086?highlight=*:*
Portrait of a Woman (Circa 1939),Ian R McRobbie,https://collections.ed.ac.uk/art/record/21138?highlight=*:*
Sketches of Five Heads (1959),Denness Morton,https://collections.ed.ac.uk/art/record/20886?highlight=*:*
Portrait of a Man in a Flat Cap (1963),John Milligan,https://collections.ed.ac.uk/art/record/21287?highlight=*:*
Suit of Armour (Circa 1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21170?highlight=*:*
Untitled (1967),Sylvia M. R. Cameron,https://collections.ed.ac.uk/art/record/112303?highlight=*:*
Portrait of a Man Seated (1959),C Byron,https://collections.ed.ac.uk/art/record/20914?highlight=*:*
Siena (1956),John P Busby,https://collections.ed.ac.uk/art/record/21379?highlight=*:*
Aix: Moroccan Women (1955),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21031?highlight=*:*
Idolino,Unknown,https://collections.ed.ac.uk/art/record/20576?highlight=*:*
Untitled - Print of Dining Table with Window (1962),Ann F Ward,https://collections.ed.ac.uk/art/record/99336?highlight=*:*
Untitled (1962),Kathleen Russell,https://collections.ed.ac.uk/art/record/99521?highlight=*:*
Seated Female Nude (1955),Eric Ritchie,https://collections.ed.ac.uk/art/record/21194?highlight=*:*
Landscape with Orchards (1955),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21033?highlight=*:*
Jug (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122541?highlight=*:*
Untitled (2002),Elizabeth Shepherd,https://collections.ed.ac.uk/art/record/99947?highlight=*:*
Untitled (2002),Lisa Flett,https://collections.ed.ac.uk/art/record/99935?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,https://collections.ed.ac.uk/art/record/21248?highlight=*:*
Traviata (Unknown),Boris Bućan,https://collections.ed.ac.uk/art/record/22470?highlight=*:*
Portrait of a Woman (1957),Andrew McPhee,https://collections.ed.ac.uk/art/record/21064?highlight=*:*
Untitled (MAR 1962),Irene Thomson,https://collections.ed.ac.uk/art/record/22015?highlight=*:*
Marshal from the East Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20679?highlight=*:*
